id,product_id,website_id,normalized_leaf_category_id,department_name,iksula_category_identifier,product_url,product_title,model_number,manufacturing_brand
1310118,21248664,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08P58V7FG,"BILT HARD Air Compressor, 8 Gallon 150 PSI 2HP, 4.0CFM@90PSI, Oil Free, Max Speed 3400 RPM, Portable with Wheels",TL-AC-8G2,BILT HARD
1310429,52884250,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08955VY17,Vacuum Pump DC Vacuum Pump Low Noise Pump Engineering Plastic 10L / min Micro Air(DC24V),,Weiyirot
1312328,72074218,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B07VJMDH31,Pacum Travel Vacuum Compressor – Multifunctional Handheld Vacuum and Air Pumping Device – Baggage Compressor for Home and Travel Use – Portable Compressor to use with Power Bank (Black),,MS
1312280,70193176,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08H1ZZD4Z,3HP 250L/min 115PSI V Type Twin Cylinder Air Compressor Pump Head Single Stage 2200W 1050rpm Universal Air Compressor Head Motor Faster Inflation&Low Noise for Factory Auto Repair Painting,,DNYSYSJ
1312354,72076585,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B09K3Y12H3,"Portable Air Compressor, Usb Rechargeable Digital Display 12v 150 Psi Mini Tire Inflator, with Light And Lcd Screen, Suitable for Cars, Motorcycles, Bicycles, Swimming Rings And Balls",,90GJ
1312211,67852650,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B09PC3CKWJ,"Fjhee Tire Inflator Portable Air Compressor, 150PSI Cordless Air Pump for Car Tires with Digital Pressure Gauge, LED Light&Power Bank for Emergency, Portable Tire Inflatorfor Car, Bike and Balls",‎AK-168,Fjhee
1312185,67265487,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08PK9CN7M,Portable Electric Twisting Balloon Pump Rechargeable Animal Balloon Air Blower Inflator Pump for Long Magic Balloons Great Assistant to Inflate Balloons for Birthday Parties,,Borosino
1310267,45200592,2,19476,tools,ik_tools_portable air compressors,https://www.amazon.com/dp/B08BFD2X91,"YTEVYT Digital Compressor LCD Screen Tire Pressure Display Supported by Tire Air Pump Compressor and Mobile Power Supply, 10200MA Battery Capacity, Used in Cars, Motorcycles, Bicycles, Balls 8.17",,YTEVYT
1308517,14294351,4,9496,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/INGERSOLL-RAND-2340-Air-Compressor-Pump-2-Stage/941358840,"INGERSOLL RAND 2340 Air Compressor Pump,2 Stage",,Ingersoll Rand
1308681,34025515,4,9496,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/230V-15HP-Variable-Frequency-Rotary-Screw-Air-Compressor-57CFM-150Psi-With-Dryer/251539573,230V 15HP Variable Frequency Rotary Screw Air Compressor 57CFM 150Psi With Dryer,,HPDMC
1308639,14294977,4,9496,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/10Hp-Rotary-Screw-Air-Compressor-Spin-On-Oil-Separator-39Cfm-125Psi-208-230V-60Hz-3-Phase-Skid-Commercial-Air-Compressed-System/403090051,10Hp Rotary Screw Air Compressor Spin-On Oil Separator 39Cfm@125Psi 208-230V/60Hz/ 3- Phase Skid Commercial Air Compressed System,XYS-8H-30,Gear Mechanical
1308516,14294345,4,9496,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/SPEEDAIRE-3YA49-Refrigerated-Air-Dryer/40824871,SPEEDAIRE 3YA49 Refrigerated Air Dryer,,Speedaire
1308416,14205791,4,9496,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/Primefit-C1002B-Solid-Brass-Air-Chuck-with-Female-Ball-Foot-Style-25-NPT/36132966,"Primefit C1002B Solid Brass Air Chuck with Female Ball Foot Style, .25"" NPT",C1002B,Primefit Tools and Accessories
1308534,14294434,4,9496,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/SPEEDAIRE-3YA50-Refrigerated-Air-Dryer/545608941,SPEEDAIRE 3YA50 Refrigerated Air Dryer,,Speedaire
1308588,14294712,4,9496,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/13Hp-Gas-Driven-Piston-Air-Compressor-3-Cylinder-30-Gallon-420Cc-125Psi-44Cfm/694929376,13Hp Gas Driven Piston Air Compressor 3 Cylinder 30 Gallon 420Cc 125Psi 44Cfm,Gv6s07-34,Gear Mechanical
1308624,14294901,4,9496,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/13Hp-Gas-Driven-Piston-Air-Compressor-3-Cylinder-30-Gallon-420Cc-125Psi-44Cfm/247893753,13Hp Gas Driven Piston Air Compressor 3 Cylinder 30 Gallon 420Cc 125Psi 44Cfm,56-C12-890,Time Frame Camera Accessories
1308615,14294852,4,9496,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/Rotary-Screw-Air-Compressor-With-Tank-Refrigerated-Dryer-10Hp-7-5Kw-39Cfm-125Psi-208-230-V-3-Phase-60Hz-80-Gallon-Tank/645782218,Rotary Screw Air Compressor With Tank Refrigerated Dryer - 10Hp / 7.5Kw - 39Cfm/125Psi - 208-230 V/3-Phase/60Hz - 80 Gallon Tank,05124-drnjyAA-fw-055,Gear Mechanical
1308672,34025476,4,9496,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/Ingersoll-Rand-5108MAX-Air-Grinder/164967208,Ingersoll Rand 5108MAX Air Grinder,,Ingersoll Rand
1308552,14294531,4,9496,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/THOMAS-405ADC38-12-Piston-Air-Compressor-1-10HP-12VDCV/40885434,"THOMAS 405ADC38/12 Piston Air Compressor,1/10HP,12VDCV",,Thomas & Friends
1308607,14294810,4,9496,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/SOLBERG-377P-Filter-Element-Polyester-5-Microns/41358638,"SOLBERG 377P Filter Element,Polyester,5 Microns",,Solberg
1309034,14328722,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/CarBole-Air-Compressor-Accessory-Kit-1-4-Inch-NPT-Air-Tool-Kit-with-1-4-Inch-x-25Ft-Coil-Nylon-Hose-Blow-Gun-Tire-Gauge-20-Pieces/714053370,"CarBole Air Compressor Accessory Kit, 1/4 Inch NPT Air Tool Kit with 1/4 Inch x 25Ft Coil Nylon Hose/Blow Gun/Tire Gauge - 20 Pieces",,CarBole
1309037,14328739,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/2-BELT-for-BT011900-BT011900AV-WL650100AJ-150J8-Campbell-Hausfeld-Air-Compressor/817952071,2 BELT for BT011900 BT011900AV WL650100AJ 150J8 Campbell Hausfeld Air Compressor,,V.I.P.
1309499,14331112,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/Zerodis-Air-Compressor-AC-Air-Compressor-38800RZYA010M2-Fit-for-2-4L-2007-2015/467432876,"Zerodis Air Compressor, AC Air Compressor 38800RZYA010M2 Fit for 2.4L 2007-2015",,Zerodis
1309954,34026839,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/BIOSA-4pcs-Emergency-Escape-Tool-Car-Self-Help-Hammer-Window-Breaker-Knocking-Glass/189405180,BIOSA 4pcs Emergency Escape Tool Car Self-Help Hammer Window Breaker Knocking Glass,5rg7pj3eu9fh8uk5,BIOSA
1309187,14329516,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/TMISHION-Air-Compressor-Inkjet-Model-Coloring-Beauty-Nail-Painting-Equipment-AS176-125W-0-3L-Air-Compressor-AS176-Air-Compressor/210654377,"TMISHION Air Compressor Inkjet Model Coloring Beauty Nail Painting Equipment AS176 125W,0.3L   Air Compressor,AS176 Air Compressor",,Tmishion
1309363,14330413,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/110V-300Bar-Portable-Air-Compressor-Paintball-Fill-Station-For-Pcp-Game-Manual-Stop/748699488,110V 300Bar Portable Air Compressor Paintball Fill Station For Pcp Game - Manual Stop,05124-drjy-fw-062,Time Frame Camera Accessories
1309817,34026288,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/50pcs-Steel-Explosion-Proof-Disk-6-5mm-For-YONG-HENG-30MPa-Air-Compressor/536295885,50pcs Steel Explosion-Proof Disk 6.5mm For YONG HENG 30MPa Air-Compressor,,TENCE
1309508,14331156,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/SPEEDAIRE-45PL19-Portable-Electric-Air-Compressor-115VAC/429900053,"SPEEDAIRE 45PL19 Portable Electric Air Compressor,115VAC",,Speedaire
1309579,14331517,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/Dodocool-300bar-Portable-Air-Compressor-Paintball-Fill-Station-for-PCP-Game-Manual-Stop/661984498,Dodocool 300bar Portable Air Compressor Paintball Fill Station for PCP Game Manual Stop,large size,Dodocool
1309546,14331353,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/Dcenta-Gas-Driven-Piston-Air-Compressor-6-5HP-One-Stage-9-5Gal-Twin-Tank-11-6cfm-Max-125psi-fit-KOHLER-Engine-Wheelbarrow-Pontoon-Portable-Heavy-Duty/840803644,Dcenta Gas Driven Piston Air Compressor 6.5HP - One Stage - 9.5Gal Twin Tank - 11.6cfm @ Max 125psi - fit for KOHLER Engine Wheelbarrow Twin Pontoon Portable Heavy Duty Compressor,,Dcenta
1309541,14331328,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/Gast-Rocking-Piston-Air-Comp-1-2-HP-50-125psi-87R642-101R-N470X/474554911,"Gast Rocking Piston Air Comp,1/2 HP,50/125psi  87R642-101R-N470X",,Gast
1309465,14330938,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/BelAire-IMC4916V-60-gal-V-2-Stage-1PH-5-HP-Air-Compressor/853752630,BelAire IMC4916V 60 gal V 2-Stage 1PH 5 HP Air Compressor,IMC4916V,BelAire
1309253,14329853,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/4x4-Portable-12V-High-Output-Air-Compressor-Kit-with-Bag-Hose-and-Gauge-Dobinsons/207982060,4x4 Portable 12V High Output Air Compressor Kit with Bag Hose and Gauge Dobinsons,,Dobinsons Spring & Suspension
1309740,34025984,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/110V-300Bar-Portable-Air-Compressor-Paintball-Fill-Station-For-Pcp-Game-Set-Pressure/224895207,110V 300Bar Portable Air Compressor Paintball Fill Station For Pcp Game - Set Pressure,56-XYS-894,Gear Mechanical
1308967,14328386,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/Belt-for-BT012100AV-HUSKY-CAMPBELL-HAUSFELD-AIR-COMPRESSOR-NEW/604892618,"Belt for BT012100AV HUSKY, CAMPBELL HAUSFELD AIR COMPRESSOR NEW",,V.I.P.
1309455,14330884,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/12V-Portable-Pcp-Compressor-4500-Psi-High-Pressure-Electric-Pump-12V-Air-Compresor/392569800,12V Portable Pcp Compressor 4500 Psi High Pressure Electric Pump (12V Air Compresor),210712-DJY-CH-93,Gear Mechanical
1309610,14331671,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/HPDMC-6-5HP-Gas-Driven-Piston-Air-Pump-KOHLER-RH65-Engine-Belt-drive-gas-powered-20-Gal-Hor-Tank-17cfm-125psi-Workshop-Compressor-Portable-Compressed/870135092,"HPDMC 6.5HP Gas Driven Piston Air Pump KOHLER RH65 Engine Belt drive gas-powered 20-Gal Hor Tank 17cfm @125psi for Workshop Compressor Portable Compressed System,with Nailer for Free",,Unbraned
1309909,34026657,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/Mgaxyff-Air-Compressor-Elbow-90-Degree-Street-Elbow-Compression-Resistance-For-1-6-Air-Compressor-3100-Configuration/860955610,"Mgaxyff Air Compressor Elbow, 90 Degree Street Elbow Compression Resistance For 1.6 Air Compressor 3100 Configuration",,Mgaxyff
1308801,14327524,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/Portable-Cordless-Handheld-Air-Compressor-Pump-Tire-Inflator-Pump-LCD-Display-LED-Light-Universal-Car-Bicycle-Basketballs-Other-Inflatables-12V-DC-15/802750010,"Portable Cordless Handheld Air Compressor Pump,Tire Inflator Pump with LCD Display LED Light, Universal for Car, Bicycle, Basketballs and Other Inflatables, 12V DC 150PSI",,Generic
1309318,14330180,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/110V-300Bar-Portable-Air-Compressor-Paintball-Fill-Station-For-Pcp-Game-Auto-Stop/168941811,110V 300Bar Portable Air Compressor Paintball Fill Station For Pcp Game - Auto Stop,AAH-37,Gear Mechanical
1309233,14329749,4,9497,tools,ik_tools_portable air compressors,https://www.walmart.com/ip/Fdit-Airbrush-Compressor-Air-Compressor-Pump-Airbrush-Dual-Cylinder-Spray-Kit-for-Painting-Cylinder-Air-Compressor/789494025,"Fdit Airbrush Compressor,Air Compressor Pump Airbrush Dual Cylinder Spray Kit for Painting,Cylinder Air Compressor",,Fdit
